Plant,Microbe,Flower,EPI_STIGMA,HETERO_STIGMA,EPI_RINSE,HETERO_RINSE,Genus,,,,,
5,124,1,59,2,1,0,Rosenbergiella,,,,,
5,124,2,1,0,0,1,Rosenbergiella,,,,,
5,124,3,12,2,1,0,Rosenbergiella,,,,,
5,124,4,0,4,0,0,Rosenbergiella,,,,,
5,124,5,88,10,0,0,Rosenbergiella,,,,,
5,124,6,0,5,0,2,Rosenbergiella,,,,,
6,124,1,336,0,0,0,Rosenbergiella,,,,,
6,124,2,12,3,8,1,Rosenbergiella,,,,,
6,124,3,0,6,0,0,Rosenbergiella,,,,,
6,124,4,55,4,0,26,Rosenbergiella,,,,,
6,124,5,1,0,0,0,Rosenbergiella,,,,,
6,124,6,0,8,0,4,Rosenbergiella,,,,,
6,124,7,1,0,0,0,Rosenbergiella,,,,,
4,187,1,132,4,0,0,Pantoea,,,,,
4,187,2,1,4,0,0,Pantoea,,,,,
4,187,3,0,2,0,0,Pantoea,,,,,
4,187,4,12,2,0,0,Pantoea,,,,,
4,187,5,8,0,0,0,Pantoea,,,,,
5,187,1,8,2,0,0,Pantoea,,,,,
5,187,2,4,7,0,0,Pantoea,,,,,
5,187,3,112,2,0,0,Pantoea,,,,,
5,187,4,94,1,4,1,Pantoea,,,,,
5,187,5,0,3,0,0,Pantoea,,,,,
5,187,6,24,2,0,0,Pantoea,,,,,
5,187,7,4,0,0,0,Pantoea,,,,,
6,187,1,5,4,0,0,Pantoea,,,,,
6,187,2,30,3,1,0,Pantoea,,,,,
6,187,3,9,4,0,0,Pantoea,,,,,
6,187,4,33,1,0,0,Pantoea,,,,,
6,187,5,6,4,4,4,Pantoea,,,,,
6,187,6,0,1,17,0,Pantoea,,,,,
6,187,7,87,0,0,0,Pantoea,,,,,
7,187,1,22,0,0,0,Pantoea,,,,,
7,187,2,172,0,0,0,Pantoea,,,,,
7,187,3,43,7,0,1,Pantoea,,,,,
7,187,4,145,7,1,0,Pantoea,,,,,
7,187,5,4,5,0,0,Pantoea,,,,,
7,187,6,18,0,0,0,Pantoea,,,,,
3,112,1,34,2,0,0,Nekomagentae,,,,,
3,112,2,15,3,0,0,Nekomagentae,,,,,
3,112,3,38,0,0,0,Nekomagentae,,,,,
3,112,4,68,1,1,0,Nekomagentae,,,,,
3,112,5,158,0,8,0,Nekomagentae,,,,,
3,112,6,1,0,0,0,Nekomagentae,,,,,
4,112,1,1,1,0,0,Nekomagentae,,,,,
4,112,2,23,2,3,0,Nekomagentae,,,,,
4,112,3,7,6,0,0,Nekomagentae,,,,,
4,112,4,104,0,0,0,Nekomagentae,,,,,
4,112,5,54,3,0,0,Nekomagentae,,,,,
4,112,6,51,0,5,1,Nekomagentae,,,,,
4,112,7,74,0,0,0,Nekomagentae,,,,,
4,112,8,4,7,0,0,Nekomagentae,,,,,
7,124,1,13,6,4,0,Rosenbergiella,,,,,
7,124,2,13,6,0,1,Rosenbergiella,,,,,
7,124,3,12,0,0,1,Rosenbergiella,,,,,
7,124,4,36,2,0,0,Rosenbergiella,,,,,
7,124,5,5,0,0,0,Rosenbergiella,,,,,
7,124,6,27,13,0,0,Rosenbergiella,,,,,
7,124,7,114,0,0,0,Rosenbergiella,,,,,
3,477,1,4,2,0,0,Acinetobacter,,,,,
3,477,3,31,6,0,1,Acinetobacter,,,,,
3,477,4,186,4,1,0,Acinetobacter,,,,,
3,477,5,1,3,0,0,Acinetobacter,,,,,
3,477,6,53,1,0,0,Acinetobacter,,,,,
3,477,7,4,2,0,0,Acinetobacter,,,,,
4,477,1,0,2,0,1,Acinetobacter,,,,,
4,477,2,4,20,0,0,Acinetobacter,,,,,
4,477,3,154,6,3,0,Acinetobacter,,,,,
5,477,1,185,0,0,1,Acinetobacter,,,,,
5,477,2,12,27,0,0,Acinetobacter,,,,,
5,477,3,8,7,0,3,Acinetobacter,,,,,
5,477,4,0,0,0,0,Acinetobacter,,,,,
5,477,5,0,1,0,0,Acinetobacter,,,,,
6,477,1,4,5,0,0,Acinetobacter,,,,,
6,477,2,12,3,0,0,Acinetobacter,,,,,
