Plot,Plant,Treatment,Microbe Type,Flower,Seed Pod Weight,Unhealthy,Healthy,Total,PctHealthy,Crushed,Growth,Viable Seeds,% Viable of Healthy,% Viable of Total,
2,1,112,Neo,1,0.00367,5,28,33,84.84848485,10,0,,,,
2,1,112,Neo,2,0.00394,2,27,29,93.10344828,10,0,,,,
2,1,112,Neo,3,0.00307,1,26,27,96.2962963,10,0,,,,
2,1,112,Neo,4,0.00306,3,23,26,88.46153846,10,0,,,,
2,1,112,Neo,5,0.00474,1,28,29,96.55172414,10,0,,,,
2,1,112,Neo,6,0.00395,3,26,29,89.65517241,10,0,,,,
2,1,112,Neo,7,0.00405,1,28,29,96.55172414,10,0,,,,
2,1,112,Neo,8,0.00537,1,33,34,97.05882353,10,0,,,,
2,1,112,Neo,9,0.00319,4,24,28,85.71428571,10,0,,,,
2,1,112,Neo,10,0.00423,0,27,27,100,10,0,,,,
2,1,187,Pan,1,0.00438,2,28,30,93.33333333,10,0,,,,
2,1,187,Pan,2,0.00374,0,26,26,100,10,0,,,,
2,1,187,Pan,3,0.0049,5,24,29,82.75862069,10,0,,,,
2,1,187,Pan,4,0.0035,4,21,25,84,10,0,,,,
2,1,187,Pan,5,0.00353,2,20,22,90.90909091,10,0,,,,
2,1,187,Pan,6,0.00337,1,26,27,96.2962963,10,0,,,,
2,1,187,Pan,7,0.00356,0,25,25,100,10,0,,,,
2,1,187,Pan,8,0.00325,4,21,25,84,10,0,,,,
2,1,187,Pan,9,0.00506,1,25,26,96.15384615,10,0,,,,
2,1,477,Acin,1,0.00323,2,27,29,93.10344828,10,0,,,,
2,1,477,Acin,2,0.00493,0,34,34,100,10,0,,,,
2,1,477,Acin,3,0.00342,0,32,32,100,10,0,,,,
2,1,477,Acin,4,0.00359,0,28,28,100,10,0,,,,
2,1,477,Acin,5,0.00306,2,6,8,75,10,0,,,,
2,1,477,Acin,6,0.00338,0,32,32,100,10,0,,,,
2,1,477,Acin,7,0.00412,1,29,30,96.66666667,10,0,,,,
2,1,477,Acin,8,0.0027,0,26,26,100,10,0,,,,
2,1,C,Cont,1,0.00507,0,32,32,100,10,0,,,,
2,1,C,Cont,2,0.00359,1,25,26,96.15384615,10,0,,,,
2,1,C,Cont,3,0.0049,0,30,30,100,10,0,,,,
2,1,C,Cont,4,0.00438,0,30,30,100,10,0,,,,
2,1,C,Cont,5,0.0046,18,17,35,48.57142857,10,0,,,,
2,1,C,Cont,6,0.00365,8,17,25,68,10,0,,,,
2,1,C,Cont,7,0.0042,8,16,24,66.66666667,10,0,,,,
2,1,C,Cont,8,0.00302,2,21,23,91.30434783,10,0,,,,
2,1,C,Cont,9,0.00289,2,26,28,92.85714286,10,0,,,,
2,1,C,Cont,10,0.00482,0,28,28,100,10,0,,,,
2,2,112,Neo,1,0.00183,2,31,33,93.93939394,10,0,,,,
2,2,112,Neo,2,0.00424,0,27,27,100,10,0,,,,
2,2,112,Neo,5,0.00304,1,24,25,96,10,0,,,,
2,2,187,Pan,1,0.00402,0,28,28,100,10,0,,,,
2,2,187,Pan,2,0.00334,0,22,22,100,10,0,,,,accidentally freaking dumped these ouuuttttt (!!!) ugh
2,2,187,Pan,3,0.00273,1,31,32,96.875,10,0,,,,
2,2,187,Pan,4,0.00327,2,28,30,93.33333333,10,0,,,,
2,2,187,Pan,5,0.0041,0,31,31,100,10,0,,,,
2,2,187,Pan,6,0.00469,1,30,31,96.77419355,10,0,,,,
2,2,187,Pan,7,0.00436,0,28,28,100,10,0,,,,
2,2,187,Pan,8,0.00455,0,32,32,100,10,0,,,,
2,2,187,Pan,9,0.00474,0,30,30,100,10,0,,,,
2,2,477,Acin,1,0.00376,0,28,28,100,10,0,,,,
2,2,477,Acin,2,0.00461,1,29,30,96.66666667,10,0,,,,
2,2,477,Acin,3,0.00251,0,28,28,100,10,0,,,,
2,2,477,Acin,4,0.00521,2,31,33,93.93939394,10,0,,,,
2,2,477,Acin,5,0.00436,1,37,38,97.36842105,10,0,,,,
2,2,477,Acin,6,0.00275,0,27,27,100,10,0,,,,
2,2,477,Acin,7,0.00479,0,29,29,100,10,0,,,,
2,2,477,Acin,8,0.00358,3,29,32,90.625,10,0,,,,
2,2,C,Cont,1,0.00431,1,24,25,96,10,0,,,,
2,2,C,Cont,2,0.00335,0,30,30,100,10,0,,,,
2,2,C,Cont,3,0.00465,1,30,31,96.77419355,10,0,,,,
2,2,C,Cont,4,0.00374,2,27,29,93.10344828,10,1,,,,
2,2,C,Cont,5,0.00415,0,28,28,100,10,1,,,,
2,2,C,Cont,6,0.0036,4,28,32,87.5,10,1,,,,
2,2,C,Cont,7,0.00415,3,29,32,90.625,10,0,,,,
2,3,112,Neo,1,0.00516,0,32,32,100,10,,,,,
2,3,112,Neo,2,0.00475,0,36,36,100,10,,,,,
2,3,112,Neo,3,0.00428,0,32,32,100,10,,,,,
